X,Y,Z
119.176166,-121.088083,410.000000
119.988808,-121.265285,410.600000
120.803316,-121.442487,411.200000
121.560622,-121.560622,411.600000
122.437927,-121.796891,412.400000
123.258031,-121.974093,413.000000
124.080000,-122.151295,413.600000
124.964145,-122.387565,414.400000
125.790155,-122.564767,415.000000
126.618031,-122.741969,415.600000
127.509016,-122.978238,416.400000
128.402487,-123.214508,417.200000
129.174715,-123.332642,417.600000
130.134715,-123.627979,418.600000
131.160311,-123.982383,419.800000
132.001244,-124.159585,420.400000
132.907150,-124.395855,421.200000
133.878964,-124.691192,422.200000
134.726425,-124.868394,422.800000
135.703834,-125.163731,423.800000
136.684352,-125.459067,424.800000
137.667979,-125.754404,425.800000
138.654715,-126.049741,426.800000
139.644560,-126.345078,427.800000
140.768705,-126.758549,429.200000
141.633575,-126.935751,429.800000
142.765181,-127.349223,431.200000
143.834611,-127.703627,432.400000
144.907772,-128.058031,433.600000
146.118964,-128.530570,435.200000
147.267668,-128.944041,436.600000
148.352953,-129.298446,437.800000
149.510052,-129.711917,439.200000
150.671503,-130.125389,440.600000
151.768601,-130.479793,441.800000
153.076477,-131.011399,443.600000
154.389948,-131.543005,445.400000
155.569741,-131.956477,446.800000
81.419689,-113.987565,388.000000
82.022798,-113.987565,388.000000
82.625907,-113.987565,388.000000
83.229016,-113.987565,388.000000
83.918549,-114.105078,388.400000
84.609326,-114.222591,388.800000
85.213679,-114.222591,388.800000
85.862176,-114.281347,389.000000
86.555751,-114.398860,389.400000
87.250570,-114.516373,389.800000
87.856477,-114.516373,389.800000
88.643938,-114.751399,390.600000
89.296788,-114.810155,390.800000
89.996269,-114.927668,391.200000
90.743316,-115.103938,391.800000
91.445596,-115.221451,392.200000
92.102176,-115.280207,392.400000
92.806632,-115.397720,392.800000
93.512332,-115.515233,393.200000
94.123523,-115.515233,393.200000
94.782902,-115.573990,393.400000
95.539896,-115.750259,394.000000
96.201140,-115.809016,394.200000
96.961244,-115.985285,394.800000
97.673782,-116.102798,395.200000
98.337824,-116.161554,395.400000
99.002487,-116.220311,395.600000
99.768497,-116.396580,396.200000
100.536373,-116.572850,396.800000
101.204145,-116.631606,397.000000
101.923834,-116.749119,397.400000
102.696373,-116.925389,398.000000
103.366943,-116.984145,398.200000
104.090363,-117.101658,398.600000
104.815026,-117.219171,399.000000
105.540933,-117.336684,399.400000
106.161762,-117.336684,399.400000
106.889534,-117.454197,399.800000
107.564767,-117.512953,400.000000
108.294715,-117.630466,400.400000
108.971503,-117.689223,400.600000
109.703627,-117.806736,401.000000
110.492021,-117.983005,401.600000
111.337617,-118.218031,402.400000
112.241347,-118.511813,403.400000
113.092228,-118.746839,404.200000
114.001865,-119.040622,405.200000
114.801451,-119.216891,405.800000
115.659793,-119.451917,406.600000
116.635026,-119.804456,407.800000
117.498964,-120.039482,408.600000
118.307565,-120.215751,409.200000
119.176166,-120.450777,410.000000
119.988808,-120.627047,410.600000
120.744560,-120.744560,411.000000
121.560622,-120.920829,411.600000
122.437927,-121.155855,412.400000
123.258031,-121.332124,413.000000
124.140000,-121.567150,413.800000
124.903834,-121.684663,414.200000
125.790155,-121.919689,415.000000
126.618031,-122.095959,415.600000
127.509016,-122.330984,416.400000
128.340933,-122.507254,417.000000
129.298446,-122.801036,418.000000
130.259067,-123.094819,419.000000
131.097824,-123.271088,419.600000
132.001244,-123.506114,420.400000
132.907150,-123.741140,421.200000
133.878964,-124.034922,422.200000
134.790155,-124.269948,423.000000
135.703834,-124.504974,423.800000
136.748705,-124.857513,425.000000
137.732642,-125.151295,426.000000
138.654715,-125.386321,426.800000
139.709845,-125.738860,428.000000
140.703109,-126.032642,429.000000
141.699482,-126.326425,430.000000
142.765181,-126.678964,431.200000
143.768083,-126.972746,432.200000
144.840933,-127.325285,433.400000
146.118964,-127.854093,435.200000
147.132746,-128.147876,436.200000
148.285181,-128.559171,437.600000
149.373886,-128.911710,438.800000
150.603109,-129.381762,440.400000
151.631192,-129.675544,441.400000
153.007461,-130.263109,443.400000
154.181969,-130.674404,444.800000
155.360829,-131.085699,446.200000
156.683938,-131.614508,448.000000
80.816580,-113.384456,388.000000
81.419689,-113.384456,388.000000
82.065078,-113.442902,388.200000
82.668497,-113.442902,388.200000
83.271917,-113.442902,388.200000
83.918549,-113.501347,388.400000
84.565803,-113.559793,388.600000
85.213679,-113.618238,388.800000
85.862176,-113.676684,389.000000
86.555751,-113.793575,389.400000
87.205803,-113.852021,389.600000
87.991710,-114.085803,390.400000
88.643938,-114.144249,390.600000
89.388187,-114.319585,391.200000
89.996269,-114.319585,391.200000
90.743316,-114.494922,391.800000
91.445596,-114.611813,392.200000
92.102176,-114.670259,392.400000
92.853886,-114.845596,393.000000
93.512332,-114.904041,393.200000
94.171399,-114.962487,393.400000
94.879275,-115.079378,393.800000
95.588394,-115.196269,394.200000
96.201140,-115.196269,394.200000
96.863005,-115.254715,394.400000
97.673782,-115.488497,395.200000
98.337824,-115.546943,395.400000
99.052539,-115.663834,395.800000
99.768497,-115.780725,396.200000
100.536373,-115.956062,396.800000
101.204145,-116.014508,397.000000
101.923834,-116.131399,397.400000
102.696373,-116.306736,398.000000
103.366943,-116.365181,398.200000
104.038135,-116.423627,398.400000
104.815026,-116.598964,399.000000
105.488083,-116.657409,399.200000
106.108601,-116.657409,399.200000
106.836062,-116.774301,399.600000
107.510984,-116.832746,399.800000
108.240622,-116.949637,400.200000
108.917098,-117.008083,400.400000
109.648912,-117.124974,400.800000
110.547047,-117.417202,401.800000
111.337617,-117.592539,402.400000
112.241347,-117.884767,403.400000
113.148187,-118.176995,404.400000
113.945596,-118.352332,405.000000
114.858031,-118.644560,406.000000
115.659793,-118.819896,406.600000
116.577824,-119.112124,407.600000
117.441451,-119.345907,408.400000
118.307565,-119.579689,409.200000
119.176166,-119.813472,410.000000
119.930363,-119.930363,410.400000
120.744560,-120.105699,411.000000
121.560622,-120.281036,411.600000
122.378549,-120.456373,412.200000
123.258031,-120.690155,413.000000
124.140000,-120.923938,413.800000
124.843523,-120.982383,414.000000
125.790155,-121.274611,415.000000
126.678964,-121.508394,415.800000
127.509016,-121.683731,416.400000
128.464041,-121.975959,417.400000
129.298446,-122.151295,418.000000
130.196891,-122.385078,418.800000
131.222798,-122.735751,420.000000
132.064041,-122.911088,420.600000
132.970259,-123.144870,421.400000
133.942383,-123.437098,422.400000
134.790155,-123.612435,423.000000
135.767876,-123.904663,424.000000
136.748705,-124.196891,425.000000
137.732642,-124.489119,426.000000
138.719689,-124.781347,427.000000
139.709845,-125.073575,428.000000
140.703109,-125.365803,429.000000
141.633575,-125.599585,429.800000
142.765181,-126.008705,431.200000
143.768083,-126.300933,432.200000
144.774093,-126.593161,433.200000
145.917513,-127.002280,434.600000
147.132746,-127.469845,436.200000
148.217409,-127.820518,437.400000
149.373886,-128.229637,438.800000
150.534715,-128.638756,440.200000
151.631192,-128.989430,441.400000
152.938446,-129.515440,443.200000
154.112642,-129.924560,444.600000
155.360829,-130.392124,446.200000
156.683938,-130.918135,448.000000
80.172124,-112.723212,387.800000
80.816580,-112.781347,388.000000
81.461658,-112.839482,388.200000
82.065078,-112.839482,388.200000
82.711088,-112.897617,388.400000
83.357720,-112.955751,388.600000
83.918549,-112.897617,388.400000
84.609326,-113.013886,388.800000
85.257513,-113.072021,389.000000
85.950466,-113.188290,389.400000
86.555751,-113.188290,389.400000
87.295337,-113.362694,390.000000
87.991710,-113.478964,390.400000
88.643938,-113.537098,390.600000
89.388187,-113.711503,391.200000
89.996269,-113.711503,391.200000
90.743316,-113.885907,391.800000
91.445596,-114.002176,392.200000
92.102176,-114.060311,392.400000
92.853886,-114.234715,393.000000
93.512332,-114.292850,393.200000
94.171399,-114.350984,393.400000
94.927461,-114.525389,394.000000
